5;2020-02-29 11:05:20;diana.rossi@mymail.com;giulietta.bianchi@mymail.com;F: sldkfj;CICICICICICI\n\n------------------------------\nFrom: diana.rossi@mymail.com\nSent: 2020-02-23 18:14:48\nTo: diana.rossi@mymail.com\nSubject: sldkfj\n\nsldkjflsdkf
6;2020-02-29 11:11:37;diana.rossi@mymail.com;laura.derossi@mymail.com;F: sldkfj;PROVA CICI CICI CICI\n\n------------------------------\nFrom: diana.rossi@mymail.com\nSent: 2020-02-23 18:14:48\nTo: diana.rossi@mymail.com\nSubject: sldkfj\n\nsldkjflsdkf
7;2020-02-29 11:17:29;diana.rossi@mymail.com;ciccio@pasticcio.com;F: promemoria;CICCIOOOOO\n\n------------------------------\nFrom: diana.rossi@mymail.com\nSent: 2020-02-23 18:09:26\nTo: diana.rossi@mymail.com\nSubject: promemoria\n\nslkfjlkds jflks djflkjs dlkf
8;2020-02-29 11:57:30;diana.rossi@mymail.com;giulietta.bianchi@mymail.com, laura.derossi@mymail.com;R: PROVA1;CICICICI
9;2020-02-29 12:00:42;diana.rossi@mymail.com;laura.derossi@mymail.com;sldkjf lksjdf ;PROVA CICCIO
10;2020-02-29 12:02:43;diana.rossi@mymail.com;diana.rossi@mymail.com, laura.derossi@mymail.com;R: F: sldkfj;sdfsdf s sd fsd \n\n------------------------------\nFrom: diana.rossi@mymail.com\nSent: 2020-02-29 11:11:37\nTo: laura.derossi@mymail.com\nSubject: F: sldkfj\n\nPROVA CICI CICI CICI\n\n------------------------------\nFrom: diana.rossi@mymail.com\nSent: 2020-02-23 18:14:48\nTo: diana.rossi@mymail.com\nSubject: sldkfj\n\nsldkjflsdkf
18;2020-02-29 14:02:09;diana.rossi@mymail.com;laura.derossi@mymail.com, giulietta.bianchi@mymail.com;R: PROVA3;askdòalksdòlakdas\n\n------------------------------\nFrom: laura.derossi@mymail.com\nSent: 2020-02-29 11:46:35\nTo: diana.rossi@mymail.com,giulietta.bianchi@mymail.com\nSubject: PROVA3\n\nOK che bello!!\n\n------------------------------\nFrom: diana.rossi@mymail.com\nSent: 2020-02-23 12:21:51\nTo: laura.derossi@mymail.com\nSubject: R: Appuntamento\n\nSono libera\n\nFrom: laura.derossi@mymail.com\nSent: 2020-02-13 07:00:00\nTo: diana.rossi@mymail.com\nSubject: AppuntamentoSei libera settimana prossima?
19;2020-02-29 14:02:40;diana.rossi@mymail.com;laura.derossi@mymail.com, giulietta.bianchi@mymail.com;R: PROVA2;a.,smd.,amsd\n\n------------------------------\nFrom: laura.derossi@mymail.com\nSent: 2020-02-29 11:46:35\nTo: diana.rossi@mymail.com,giulietta.bianchi@mymail.com\nSubject: PROVA2\n\nOK che bello!!\n\n------------------------------\nFrom: diana.rossi@mymail.com\nSent: 2020-02-23 12:21:51\nTo: laura.derossi@mymail.com\nSubject: R: Appuntamento\n\nSono libera\n\nFrom: laura.derossi@mymail.com\nSent: 2020-02-13 07:00:00\nTo: diana.rossi@mymail.com\nSubject: AppuntamentoSei libera settimana prossima?
20;2020-02-29 14:03:15;diana.rossi@mymail.com;adasd@sdasd.com;asdasdasd;sadasdasdsad
21;2020-02-29 14:09:14;diana.rossi@mymail.com;ciccio@pasticcio.com;sldkfjlsdkj;slkdjflsdkjf lsdj lfkjsd lkfj ds
